"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"637","Lewisville Independent",NA,"127,125","88.8%","86.3%","11.8%","20.0%",18.5,"2.3%","6.4%","3.3%","18.6%","11.4%",NA,"90,424","8.7%","29.3%","40.6%","9.2%","9.2%","3.0%",NA,"325,140",NA,"54.1%","9.6%","0.5%","13.8%","0.0%","7.3%","14.6%","20.2%","50.6%","TX"
"638","Lubbock Independent",NA,"76,446","81.0%","78.4%","10.4%","14.5%",25.1,"4.2%","15.6%","3.7%","17.1%","10.1%",NA,"43,439","14.4%","36.5%","27.2%","10.0%","8.1%","3.7%",NA,"190,014",NA,"55.2%","10.4%","0.7%","1.8%","0.1%","11.1%","20.7%","41.5%","43.7%","TX"
"639","Magnolia Independent",NA,"27,015","87.2%","83.3%","16.9%","18.4%",30.6,"3.0%","4.1%","1.7%","21.1%","15.2%",NA,"23,329","N","N","N","N","N","N",NA,"80,280",NA,"72.8%","6.5%","0.2%","3.1%","0.0%","5.3%","12.1%","28.0%","62.2%","TX"
"640","Manor Independent",NA,"22,383","96.4%","95.6%","15.8%","10.4%",12.3,"1.1%","10.0%","3.7%","13.9%","13.6%",NA,"17,656","N","N","N","N","N","N",NA,"73,233",NA,"28.9%","8.2%","3.9%","6.1%","0.2%","14.0%","38.6%","61.9%","20.5%","TX"
"641","Mansfield Independent",NA,"55,593","88.9%","87.5%","12.8%","16.0%",22.5,"6.6%","7.0%","2.5%","22.0%","17.3%",NA,"45,584","6.4%","25.1%","38.0%","13.5%","10.7%","6.3%",NA,"175,001",NA,"43.6%","25.5%","0.2%","8.7%","0.1%","6.8%","15.3%","20.1%","41.0%","TX"
"642","McAllen Independent",NA,"40,442","84.0%","77.9%","13.5%","7.8%",28.9,"7.7%","23.4%","4.8%","17.0%","19.2%",NA,"30,109","11.3%","34.8%","27.0%","15.0%","7.4%","4.5%",NA,"117,452",NA,"41.8%","1.2%","0.7%","1.2%","0.0%","20.4%","34.6%","N","N","TX"
"643","McKinney Independent",NA,"50,295","83.1%","80.5%","8.0%","17.5%",20.4,"2.3%","3.9%","1.8%","16.7%","8.8%",NA,"36,735","12.7%","32.3%","36.7%","8.8%","8.1%","1.4%",NA,"137,613",NA,"62.9%","14.6%","0.6%","6.1%","0.3%","2.3%","13.2%","20.2%","55.5%","TX"
"644","Mesquite Independent",NA,"59,407","87.2%","83.7%","15.2%","11.5%",22.2,"5.0%","16.1%","2.9%","17.4%","12.9%",NA,"43,372","7.9%","32.5%","25.4%","16.2%","10.1%","7.9%",NA,"177,706",NA,"25.2%","23.0%","1.4%","2.4%","0.1%","13.2%","34.7%","47.6%","22.1%","TX"
"645","Midland Independent",NA,"62,572","90.2%","86.3%","14.3%","15.0%",14.2,"4.3%","9.0%","1.4%","13.6%","9.6%",NA,"43,360","N","N","N","N","N","N",NA,"157,907",NA,"53.9%","5.9%","1.2%","2.2%","0.0%","11.1%","25.7%","50.2%","38.6%","TX"
"646","Mission Consolidated Independent",NA,"21,255","77.7%","71.9%","17.7%","6.0%",25,"6.6%","32.1%","2.9%","14.3%","11.3%",NA,"16,145","15.6%","38.9%","14.4%","16.9%","8.1%","6.1%",NA,"67,676",NA,"N","N","N","N","N","N","N","N","N","TX"
"647","New Caney Independent",NA,"26,444","89.9%","88.3%","9.8%","13.9%",18.2,"3.8%","18.3%","5.1%","11.5%","14.6%",NA,"19,325","N","N","N","N","N","N",NA,"81,579",NA,"62.1%","4.2%","0.2%","1.1%","0.0%","6.1%","26.4%","45.4%","47.4%","TX"
"648","North East Independent",NA,"173,417","81.7%","78.2%","12.2%","19.5%",26.1,"5.3%","11.8%","3.1%","22.7%","17.5%",NA,"115,347","12.5%","34.7%","30.1%","11.8%","6.5%","4.3%",NA,"437,583",NA,"48.5%","6.1%","1.0%","3.5%","0.2%","7.6%","33.1%","48.7%","37.9%","TX"
"649","Northside Independent School District (Bandera, Bexar, and",NA,"250,383","86.7%","84.3%","10.7%","16.7%",21.2,"4.1%","13.0%","4.0%","21.4%","20.6%",NA,"164,638","10.6%","33.1%","29.5%","12.5%","10.6%","3.7%",NA,"675,115",NA,"39.5%","7.8%","0.7%","4.7%","0.0%","9.8%","37.6%","59.9%","24.8%","TX"
"650","Northwest Independent",NA,"46,563","89.2%","88.3%","8.4%","16.0%",17.6,"0.5%","12.3%","6.3%","22.6%","18.1%",NA,"36,479","N","N","N","N","N","N",NA,"138,680",NA,"57.3%","12.3%","0.1%","5.3%","0.0%","8.8%","16.1%","21.5%","54.0%","TX"
"651","Pasadena Independent",NA,"85,487","84.5%","81.1%","8.5%","9.9%",28.6,"6.1%","23.1%","4.9%","18.2%","14.1%",NA,"61,357","9.3%","42.5%","18.6%","13.4%","10.3%","6.0%",NA,"262,431",NA,"23.1%","9.4%","1.2%","7.2%","0.0%","15.9%","43.2%","69.1%","13.5%","TX"
"652","Pearland Independent",NA,"38,311","89.0%","87.2%","9.4%","12.5%",21,"1.7%","6.4%","4.5%","16.5%","7.5%",NA,"29,122","N","N","N","N","N","N",NA,"112,480",NA,"54.7%","15.6%","0.0%","12.1%","0.0%","5.1%","12.5%","22.8%","47.6%","TX"
"653","Pflugerville Independent",NA,"74,709","92.2%","88.6%","15.0%","12.1%",18.8,"3.0%","10.9%","4.5%","19.5%","9.7%",NA,"44,566","N","N","N","N","N","N",NA,"185,951",NA,"43.1%","13.0%","2.2%","8.8%","0.1%","13.1%","19.7%","37.5%","36.5%","TX"
"654","Pharr-San Juan-Alamo Independent",NA,"42,296","78.4%","70.4%","15.4%","3.1%",23.5,"8.3%","34.9%","2.0%","13.0%","16.3%",NA,"33,824","17.0%","38.6%","21.6%","12.8%","7.0%","2.9%",NA,"136,003",NA,"N","N","N","N","N","N","N","N","N","TX"
"655","Plano Independent",NA,"142,990","85.5%","82.9%","13.2%","24.8%",20.2,"2.5%","4.4%","2.2%","17.7%","9.2%",NA,"94,768","11.1%","31.1%","37.9%","8.7%","8.1%","3.0%",NA,"367,359",NA,"53.4%","9.5%","0.5%","20.8%","0.0%","5.8%","10.0%","17.1%","49.4%","TX"
"656","Prosper Independent",NA,"27,907","93.6%","91.8%","17.8%","19.6%",19.7,"3.2%","3.3%","0.8%","13.6%","12.6%",NA,"25,061","N","N","N","N","N","N",NA,"89,927",NA,"56.7%","13.1%","1.2%","14.9%","0.2%","2.3%","11.5%","10.5%","55.1%","TX"
"657","Richardson Independent",NA,"93,558","82.9%","79.9%","10.8%","18.9%",24.9,"2.9%","11.2%","2.7%","15.3%","12.0%",NA,"59,485","9.8%","34.5%","31.7%","11.7%","6.9%","5.3%",NA,"240,923",NA,"48.1%","22.0%","0.1%","6.5%","0.1%","11.5%","11.7%","24.3%","44.9%","TX"
"658","Rockwall Independent",NA,"32,762","85.3%","83.2%","11.2%","26.7%",27.6,"1.0%","6.4%","3.8%","23.2%","13.2%",NA,"26,038","N","N","N","N","N","N",NA,"93,838",NA,"72.9%","6.9%","0.1%","4.4%","0.0%","5.6%","10.1%","15.1%","71.2%","TX"
"659","Round Rock Independent",NA,"118,040","87.9%","85.8%","13.8%","20.8%",16.1,"1.9%","5.4%","1.6%","17.4%","14.4%",NA,"78,569","8.0%","30.9%","42.9%","8.3%","6.9%","3.0%",NA,"292,885",NA,"53.1%","9.5%","0.6%","14.8%","0.0%","6.0%","15.9%","21.1%","48.9%","TX"
"660","San Angelo Independent",NA,"39,554","77.4%","73.2%","12.1%","14.7%",28.9,"3.1%","7.5%","3.3%","23.4%","13.3%",NA,"23,097","N","N","N","N","N","N",NA,"101,314",NA,"62.0%","3.4%","1.7%","1.4%","0.1%","7.5%","23.9%","43.9%","47.5%","TX"
"661","San Antonio Independent",NA,"114,324","75.4%","69.6%","12.7%","7.6%",30.7,"8.7%","29.2%","3.0%","16.2%","15.5%",NA,"68,785","17.2%","39.2%","19.2%","15.2%","5.5%","3.8%",NA,"295,781",NA,"29.5%","6.4%","1.6%","0.4%","0.2%","12.4%","49.6%","79.8%","12.0%","TX"
"662","San Marcos Consolidated Independent",NA,"33,125","80.6%","78.9%","9.2%","9.6%",20.8,"5.9%","11.1%","3.0%","14.6%","17.1%",NA,"14,759","N","N","N","N","N","N",NA,"85,543",NA,"53.0%","7.4%","1.4%","1.0%","0.0%","6.4%","30.8%","48.1%","38.6%","TX"
"663","Schertz-Cibolo-Universal City Independent",NA,"29,710","83.6%","80.7%","12.8%","19.2%",26.2,"1.8%","8.4%","3.7%","32.9%","27.0%",NA,"23,550","N","N","N","N","N","N",NA,"85,292",NA,"56.7%","11.7%","0.0%","2.4%","0.0%","4.1%","25.1%","31.1%","49.2%","TX"
"664","Socorro Independent",NA,"79,901","90.1%","86.9%","11.8%","10.5%",21.6,"3.2%","21.5%","4.1%","12.9%","15.0%",NA,"63,481","5.9%","35.9%","28.9%","15.2%","10.4%","3.7%",NA,"254,459",NA,"30.0%","2.7%","1.3%","1.1%","0.0%","16.1%","48.8%","88.6%","6.7%","TX"
"665","Spring Branch Independent",NA,"69,896","84.9%","81.3%","13.7%","23.3%",22.7,"3.8%","13.4%","2.5%","16.8%","10.1%",NA,"48,376","12.0%","32.0%","30.3%","13.5%","8.3%","3.9%",NA,"194,266",NA,"42.7%","7.1%","0.9%","8.1%","0.0%","21.8%","19.5%","43.4%","39.0%","TX"
"666","Spring Independent",NA,"72,181","88.1%","83.9%","12.4%","9.5%",19.5,"6.4%","23.5%","4.2%","15.9%","14.3%",NA,"50,314","10.1%","41.7%","20.0%","13.8%","10.4%","4.1%",NA,"204,560",NA,"25.5%","38.2%","0.1%","2.8%","0.0%","8.6%","24.7%","40.1%","15.5%","TX"
"667","Tomball Independent",NA,"31,756","84.3%","82.1%","10.4%","29.0%",28.2,"1.6%","2.4%","1.2%","19.6%","10.2%",NA,"22,784","N","N","N","N","N","N",NA,"94,109",NA,"66.3%","5.9%","0.4%","7.5%","0.0%","3.4%","16.4%","20.4%","64.1%","TX"
"668","Tyler Independent",NA,"45,070","81.5%","77.2%","12.1%","15.5%",29.8,"3.8%","14.3%","3.2%","18.8%","12.9%",NA,"30,423","12.9%","33.8%","31.4%","11.1%","8.4%","2.3%",NA,"134,505",NA,"62.5%","24.6%","0.9%","1.4%","0.1%","2.8%","7.7%","23.6%","47.6%","TX"
"669","United Independent",NA,"53,368","87.0%","84.5%","8.4%","8.0%",20.2,"7.0%","24.8%","2.9%","10.8%","15.6%",NA,"43,528","9.9%","38.8%","21.4%","17.6%","7.9%","4.4%",NA,"186,751",NA,"22.7%","0.3%","0.5%","0.8%","0.0%","8.3%","67.3%","94.3%","3.5%","TX"
"670","Victoria Independent",NA,"33,843","77.9%","74.4%","10.4%","15.5%",30.2,"5.3%","17.4%","3.1%","25.8%","17.5%",NA,"22,042","14.3%","37.4%","27.3%","11.1%","6.3%","3.7%",NA,"85,090",NA,"56.5%","5.9%","0.8%","1.4%","0.0%","6.7%","28.6%","50.5%","40.0%","TX"
"671","Waco Independent",NA,"42,491","82.9%","80.7%","7.7%","10.0%",25.9,"4.4%","16.0%","1.8%","17.5%","12.9%",NA,"20,322","11.0%","40.1%","27.6%","14.1%","5.7%","1.4%",NA,"106,394",NA,"42.2%","23.4%","0.5%","1.4%","0.0%","6.5%","26.0%","33.3%","38.6%","TX"
"672","Weslaco Independent",NA,"20,938","74.3%","66.6%","12.3%","8.0%",26.9,"6.9%","36.1%","3.1%","19.7%","25.0%",NA,"15,757","N","N","N","N","N","N",NA,"69,701",NA,"27.6%","0.8%","0.9%","0.0%","0.0%","7.8%","62.9%","N","N","TX"
"673","Wichita Falls Independent",NA,"34,766","73.3%","71.4%","9.2%","12.5%",28.7,"8.7%","14.9%","1.2%","18.5%","11.3%",NA,"20,759","10.7%","33.8%","33.8%","13.3%","5.5%","3.0%",NA,"86,121",NA,"65.1%","11.1%","0.6%","2.7%","0.1%","5.8%","14.6%","24.9%","57.8%","TX"
"674","Wylie Independent School District",NA,"26,271","91.6%","91.6%","10.9%","18.8%",15.8,"2.8%","6.8%","1.5%","17.8%","11.2%",NA,"N","N","N","N","N","N","N",NA,"82,090",NA,"59.6%","13.6%","1.2%","7.9%","0.0%","1.0%","16.6%","12.9%","58.7%","TX"
"675","Ysleta Independent",NA,"66,987","76.3%","72.8%","12.2%","7.7%",37.1,"10.4%","24.2%","3.0%","22.6%","17.6%",NA,"50,393","17.6%","36.2%","18.5%","16.5%","7.8%","3.4%",NA,"188,417",NA,"26.8%","2.2%","1.6%","0.9%","0.3%","19.3%","48.9%","88.6%","7.6%","TX"
"676","Alpine",NA,"119,459","90.8%","89.0%","14.2%","21.8%",18,"2.2%","5.7%","2.5%","17.2%","11.9%",NA,"97,632","6.5%","28.0%","35.6%","9.9%","15.4%","4.6%",NA,"419,875",NA,"82.6%","0.5%","0.4%","1.7%","0.8%","3.6%","10.4%","11.5%","81.0%","UT"
"677","Cache",NA,"24,865","84.7%","83.2%","17.1%","23.3%",24.3,"2.9%","5.2%","2.3%","22.5%","10.2%",NA,"21,072","10.8%","25.7%","34.0%","10.6%","15.9%","3.0%",NA,"82,988",NA,"85.6%","0.3%","0.2%","0.7%","0.4%","4.8%","8.0%","11.8%","83.5%","UT"
"678","Canyons",NA,"79,087","84.6%","82.4%","14.5%","22.5%",25.3,"2.6%","4.6%","1.8%","19.1%","7.9%",NA,"55,911","10.1%","30.5%","36.3%","8.2%","10.9%","4.0%",NA,"222,104",NA,"82.7%","0.5%","0.4%","4.4%","0.2%","2.6%","9.2%","10.0%","80.0%","UT"
"679","Davis",NA,"114,119","84.7%","83.3%","11.7%","20.1%",23,"2.9%","7.0%","1.6%","22.6%","14.1%",NA,"87,013","9.6%","26.8%","33.4%","9.8%","16.5%","3.9%",NA,"367,285",NA,"84.0%","1.3%","0.4%","2.1%","0.5%","3.2%","8.6%","10.7%","80.3%","UT"
"680","Granite",NA,"139,432","83.7%","82.1%","11.4%","17.0%",25.4,"4.0%","8.5%","2.2%","18.7%","7.7%",NA,"94,899","10.5%","25.3%","28.5%","16.2%","13.6%","5.8%",NA,"407,423",NA,"61.1%","2.1%","1.7%","4.5%","2.2%","14.9%","13.5%","28.2%","57.5%","UT"
"681","Jordan",NA,"96,866","89.0%","87.2%","14.5%","19.2%",20.2,"3.2%","4.2%","1.9%","18.6%","9.8%",NA,"80,201","8.0%","27.1%","34.4%","10.5%","16.1%","3.9%",NA,"320,271",NA,"77.1%","0.9%","0.6%","3.6%","0.9%","5.9%","11.0%","14.9%","75.7%","UT"
"682","Nebo",NA,"42,555","86.6%","83.6%","19.6%","20.2%",25.5,"2.8%","6.2%","1.7%","19.5%","10.8%",NA,"35,317","9.7%","25.7%","35.0%","9.5%","16.0%","4.1%",NA,"151,460",NA,"87.5%","0.7%","0.6%","0.2%","0.3%","4.7%","6.0%","12.5%","82.6%","UT"
"683","Ogden",NA,"32,631","80.5%","77.7%","9.8%","17.4%",23.1,"6.6%","14.5%","1.7%","19.6%","8.7%",NA,"20,613","12.0%","30.3%","33.8%","10.9%","9.9%","3.1%",NA,"86,800",NA,"71.6%","2.1%","1.8%","1.5%","0.3%","13.3%","9.4%","25.3%","66.8%","UT"
"684","Provo",NA,"32,244","91.2%","89.5%","17.5%","22.7%",13.4,"2.4%","8.8%","3.0%","11.5%","10.7%",NA,"22,521","7.2%","21.4%","45.5%","8.9%","10.4%","6.6%",NA,"113,651",NA,"74.6%","0.7%","1.0%","2.5%","0.9%","6.8%","13.6%","17.3%","71.0%","UT"
"685","Salt Lake City",NA,"89,839","84.5%","82.7%","11.1%","20.6%",18.2,"3.4%","10.1%","3.5%","15.4%","8.6%",NA,"38,994","10.2%","26.7%","36.8%","16.0%","5.6%","4.7%",NA,"200,475",NA,"70.3%","3.6%","1.1%","4.3%","2.4%","7.5%","10.7%","19.4%","65.1%","UT"
"686","Tooele",NA,"23,495","89.5%","88.8%","8.7%","6.6%",21,"2.1%","6.9%","0.0%","21.5%","12.5%",NA,"19,175","N","N","N","N","N","N",NA,"76,640",NA,"86.9%","1.5%","0.2%","0.4%","0.3%","2.7%","8.0%","N","N","UT"
"687","Washington",NA,"68,090","65.6%","62.6%","10.6%","25.0%",38.5,"4.1%","5.9%","2.4%","29.8%","10.3%",NA,"49,954","26.3%","24.5%","29.9%","5.2%","10.7%","3.4%",NA,"191,226",NA,"85.5%","0.5%","0.8%","1.7%","0.3%","4.0%","7.2%","11.3%","81.1%","UT"
"688","Weber",NA,"60,238","81.2%","79.4%","10.5%","15.4%",25.1,"3.0%","4.3%","1.3%","24.5%","14.5%",NA,"47,134","12.5%","27.5%","31.5%","8.5%","15.5%","4.5%",NA,"180,266",NA,"83.7%","0.6%","0.5%","1.9%","0.3%","5.5%","7.4%","15.7%","78.4%","UT"
"689","Auburn",NA,"37,524","81.2%","80.2%","8.3%","20.3%",27.1,"6.6%","18.6%","3.7%","23.4%","18.2%",NA,"25,288","11.0%","28.6%","30.1%","14.9%","12.6%","2.8%",NA,"104,353",NA,"53.0%","8.2%","2.2%","14.5%","1.6%","8.0%","12.7%","16.5%","50.7%","WA"
"690","Battle Ground",NA,"28,694","79.5%","77.8%","12.1%","17.4%",31.8,"3.6%","11.8%","2.7%","24.5%","17.5%",NA,"20,666","14.7%","32.8%","28.0%","9.6%","9.3%","5.7%",NA,"82,949",NA,"86.2%","0.4%","0.7%","3.5%","0.1%","1.3%","7.9%","6.8%","84.7%","WA"
"691","Bellevue",NA,"60,335","82.2%","79.3%","11.5%","36.6%",19.8,"2.8%","7.3%","2.7%","16.7%","8.5%",NA,"37,298","14.8%","38.2%","33.0%","7.4%","5.0%","1.6%",NA,"144,015",NA,"42.4%","3.6%","0.3%","42.6%","0.9%","2.0%","8.0%","6.4%","40.7%","WA"
"692","Bellingham",NA,"48,325","76.2%","74.9%","11.1%","29.4%",27.9,"2.5%","13.1%","4.7%","24.1%","14.1%",NA,"24,349","N","N","N","N","N","N",NA,"109,634",NA,"80.1%","1.1%","1.0%","4.7%","0.4%","2.4%","10.2%","9.6%","77.8%","WA"
"693","Bethel",NA,"41,304","84.2%","83.5%","8.2%","15.7%",24.5,"3.7%","13.8%","3.2%","23.4%","25.9%",NA,"31,401","10.3%","33.9%","32.1%","8.1%","13.7%","1.9%",NA,"121,322",NA,"58.3%","7.5%","0.3%","4.4%","3.6%","4.5%","21.3%","16.4%","55.5%","WA"
"694","Central Kitsap",NA,"28,212","76.6%","76.0%","6.0%","22.6%",28,"4.2%","12.4%","2.7%","33.1%","20.7%",NA,"20,072","19.7%","27.4%","34.7%","8.4%","7.5%","2.3%",NA,"78,388",NA,"73.2%","6.5%","0.9%","5.7%","1.0%","2.3%","10.4%","5.9%","71.8%","WA"
"695","Central Valley",NA,"39,414","79.9%","78.5%","9.8%","19.0%",31.6,"4.7%","15.4%","5.3%","23.6%","16.2%",NA,"25,356","12.7%","30.4%","35.9%","8.3%","9.3%","3.4%",NA,"98,866",NA,"86.8%","1.8%","0.6%","1.2%","0.1%","1.6%","7.9%","7.0%","85.0%","WA"
"696","Clover Park",NA,"33,966","78.4%","78.2%","5.5%","15.0%",24.3,"7.2%","19.3%","8.3%","24.8%","17.7%",NA,"21,284","N","N","N","N","N","N",NA,"87,917",NA,"50.7%","16.8%","1.7%","6.9%","4.1%","6.8%","13.1%","15.0%","46.5%","WA"
"697","Edmonds",NA,"69,077","79.6%","77.9%","12.2%","25.2%",27.7,"3.6%","10.4%","4.3%","23.9%","18.4%",NA,"44,497","14.8%","26.6%","35.8%","9.8%","8.7%","4.4%",NA,"171,593",NA,"62.1%","5.3%","0.5%","16.2%","0.3%","3.0%","12.6%","9.5%","60.4%","WA"
"698","Everett",NA,"58,437","81.1%","79.3%","9.4%","21.2%",25.7,"5.6%","12.7%","3.7%","21.2%","16.1%",NA,"38,216","13.1%","34.3%","31.2%","10.4%","7.9%","3.2%",NA,"152,049",NA,"61.3%","3.7%","0.8%","15.9%","0.6%","4.7%","13.0%","14.4%","58.7%","WA"
"699","Evergreen School",NA,"60,282","77.7%","75.2%","10.2%","21.8%",32.4,"5.8%","13.7%","3.0%","26.0%","21.2%",NA,"40,640","16.6%","30.6%","29.7%","11.4%","9.5%","2.2%",NA,"158,057",NA,"70.4%","2.7%","0.5%","7.2%","1.5%","6.5%","11.1%","11.9%","67.9%","WA"
"700","Federal Way",NA,"49,674","83.5%","81.0%","12.4%","17.1%",26.5,"5.3%","20.2%","6.8%","22.1%","20.2%",NA,"35,481","12.5%","33.2%","25.6%","14.2%","10.4%","4.0%",NA,"140,886",NA,"39.4%","16.7%","1.4%","17.1%","2.1%","11.3%","12.0%","18.5%","37.4%","WA"
"701","Highline",NA,"49,238","83.4%","81.5%","12.6%","19.5%",24.6,"4.5%","17.7%","4.2%","21.3%","17.5%",NA,"32,672","9.4%","27.9%","32.7%","15.4%","10.9%","3.7%",NA,"134,126",NA,"47.1%","11.9%","0.7%","14.8%","1.1%","12.4%","12.1%","19.2%","45.7%","WA"
"702","Issaquah",NA,"43,508","83.1%","80.8%","13.7%","36.5%",19.7,"1.7%","5.6%","2.4%","19.1%","9.7%",NA,"33,090","12.1%","29.3%","40.5%","7.8%","8.8%","1.4%",NA,"115,623",NA,"57.9%","3.5%","0.3%","27.7%","0.1%","1.9%","8.6%","6.3%","56.3%","WA"
"703","Kennewick",NA,"35,998","71.1%","69.1%","6.7%","16.3%",30.7,"7.5%","23.3%","4.7%","23.3%","14.9%",NA,"23,589","N","N","N","N","N","N",NA,"100,417",NA,"66.6%","2.0%","0.6%","1.8%","0.0%","13.3%","15.6%","28.9%","63.1%","WA"
"704","Kent",NA,"62,720","84.9%","82.1%","15.1%","18.1%",23,"3.9%","16.8%","4.0%","22.9%","17.4%",NA,"44,668","11.2%","24.6%","38.8%","10.9%","11.9%","2.7%",NA,"179,061",NA,"47.4%","11.1%","0.3%","19.1%","1.6%","10.2%","10.2%","16.5%","45.3%","WA"
"705","Lake Washington",NA,"84,699","86.1%","84.6%","10.4%","37.9%",18.9,"2.0%","4.8%","2.4%","18.1%","9.1%",NA,"58,478","10.4%","36.0%","38.4%","7.2%","6.6%","1.4%",NA,"219,458",NA,"57.6%","1.3%","0.2%","30.2%","0.2%","2.2%","8.3%","5.0%","56.3%","WA"
"706","Marysville",NA,"26,643","76.5%","73.5%","10.1%","24.0%",33.5,"5.4%","12.2%","3.9%","30.3%","19.8%",NA,"19,253","18.4%","30.0%","29.0%","9.3%","9.7%","3.7%",NA,"73,637",NA,"67.8%","2.6%","4.5%","6.6%","0.0%","4.4%","14.1%","13.4%","66.5%","WA"
"707","Mukilteo",NA,"43,524","83.3%","81.3%","10.7%","23.6%",22.7,"5.2%","13.2%","4.3%","19.8%","16.7%",NA,"26,462","12.6%","33.4%","31.9%","9.3%","10.2%","2.6%",NA,"109,114",NA,"53.1%","8.4%","0.5%","17.1%","0.9%","6.4%","13.6%","12.3%","52.5%","WA"
"708","Northshore",NA,"57,525","86.0%","84.2%","12.2%","32.1%",22.2,"2.0%","4.4%","1.8%","18.1%","10.8%",NA,"41,001","12.7%","28.7%","43.3%","5.2%","7.4%","2.7%",NA,"154,875",NA,"65.0%","1.9%","0.3%","19.0%","0.1%","3.3%","10.4%","7.6%","64.1%","WA"
"709","Olympia",NA,"30,287","74.9%","72.4%","9.2%","30.4%",31.7,"3.3%","15.2%","1.5%","28.7%","17.9%",NA,"17,240","N","N","N","N","N","N",NA,"68,767",NA,"73.0%","2.4%","2.1%","7.5%","0.4%","1.3%","13.4%","8.1%","71.7%","WA"
"710","Pasco",NA,"26,894","87.8%","87.3%","12.7%","15.2%",18.1,"4.5%","24.7%","3.5%","18.9%","13.5%",NA,"21,817","N","N","N","N","N","N",NA,"89,594",NA,"47.3%","1.6%","0.4%","1.3%","2.3%","24.3%","22.8%","54.0%","37.2%","WA"
"711","Peninsula",NA,"27,294","70.1%","65.6%","14.8%","35.6%",38,"1.3%","5.1%","2.3%","38.3%","20.2%",NA,"19,024","N","N","N","N","N","N",NA,"68,083",NA,"79.3%","0.8%","0.3%","2.6%","0.1%","2.0%","14.9%","7.5%","78.5%","WA"
"712","Puyallup",NA,"52,619","84.0%","82.4%","9.0%","17.2%",26.2,"3.5%","11.4%","4.0%","23.8%","19.7%",NA,"37,018","10.0%","33.7%","35.6%","7.6%","10.5%","2.6%",NA,"144,091",NA,"69.0%","4.3%","1.0%","4.8%","0.8%","2.9%","17.2%","11.3%","67.5%","WA"
"713","Renton",NA,"52,115","83.0%","81.2%","10.1%","23.5%",23.1,"5.9%","14.5%","3.7%","21.4%","15.3%",NA,"31,911","12.0%","33.5%","33.3%","11.3%","7.5%","2.2%",NA,"130,863",NA,"39.6%","11.3%","1.1%","25.1%","0.7%","7.8%","14.5%","17.6%","38.0%","WA"
"714","Richland",NA,"32,188","77.1%","76.2%","8.8%","24.1%",28.1,"2.9%","14.6%","1.7%","25.5%","12.0%",NA,"20,931","N","N","N","N","N","N",NA,"83,024",NA,"73.1%","1.5%","0.5%","6.3%","0.6%","3.6%","14.3%","15.6%","70.2%","WA"
"715","Shoreline",NA,"29,298","77.8%","76.0%","10.1%","34.4%",30.2,"2.1%","9.2%","3.2%","28.2%","10.3%",NA,"18,942","N","N","N","N","N","N",NA,"72,007",NA,"65.4%","6.4%","0.8%","14.6%","0.4%","2.3%","10.1%","6.7%","64.7%","WA"
"716","South Kitsap",NA,"27,818","74.4%","71.7%","7.3%","27.0%",34.4,"3.8%","11.4%","2.5%","33.4%","21.6%",NA,"20,571","N","N","N","N","N","N",NA,"74,673",NA,"78.5%","1.2%","0.5%","3.4%","0.2%","3.4%","12.8%","9.8%","77.6%","WA"
"717","Yakima",NA,"29,791","75.4%","73.7%","5.3%","12.3%",32.8,"7.9%","29.5%","6.8%","16.3%","13.2%",NA,"17,306","11.0%","38.9%","20.2%","14.5%","7.6%","7.7%",NA,"76,876",NA,"41.7%","0.7%","1.2%","0.6%","0.4%","29.1%","26.1%","56.2%","37.2%","WA"
